Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
274,68022625,0.00000000 BTC,NO,YES,2021-01-18 22:46:03
275,68162940,0.00000000 BTC,NO,YES,2021-01-19 13:41:27
276,46851414,0.00000000 BTC,NO,YES,2021-01-22 16:14:01
277,68714865,0.00000000 BTC,NO,NO,2021-01-22 19:19:24
278,69119130,0.00000000 BTC,NO,NO,2021-01-23 18:52:37
279,69138481,0.00000000 BTC,NO,NO,2021-01-23 19:19:31
280,71182997,0.00000000 BTC,NO,NO,2021-01-29 18:49:10
281,71843218,0.00000000 BTC,NO,NO,2021-01-30 19:00:50
282,72080423,0.00000000 BTC,NO,NO,2021-01-31 02:24:15
283,66734795,0.00000000 BTC,NO,YES,2021-01-31 13:42:10
284,73628137,0.00000000 BTC,NO,NO,2021-02-03 15:00:40
285,73757647,0.00000000 BTC,NO,NO,2021-02-03 18:57:39
286,73693360,0.00000000 BTC,NO,NO,2021-02-03 19:00:28
287,13816782,0.00000000 BTC,NO,NO,2021-02-05 16:06:54
288,76434309,0.00000000 BTC,NO,NO,2021-02-08 23:13:28
289,64531607,0.00000000 BTC,NO,NO,2021-02-09 17:53:17
290,79942381,0.00000000 BTC,NO,NO,2021-02-13 10:01:00
291,81764630,0.00000000 BTC,NO,NO,2021-02-15 19:38:32
292,81766436,0.00000000 BTC,NO,NO,2021-02-15 19:57:36
293,81810783,0.00000000 BTC,NO,YES,2021-02-15 21:15:40
294,82183467,0.00000000 BTC,NO,YES,2021-02-16 14:24:48
295,65686724,0.00000000 BTC,NO,NO,2021-02-17 23:47:16
296,85629900,0.00000000 BTC,NO,NO,2021-02-21 23:11:36
297,82141401,0.00000000 BTC,NO,NO,2021-02-25 13:07:11
298,78100307,0.00000000 BTC,NO,NO,2021-02-25 14:46:09
299,68206317,0.00000000 BTC,NO,NO,2021-02-26 14:32:06
300,92966445,0.00000000 BTC,NO,NO,2021-03-06 14:37:59
301,93340380,0.00000000 BTC,NO,NO,2021-03-07 17:31:24
302,65680300,0.00000000 BTC,NO,NO,2021-03-11 22:18:23
303,25270060,0.00000000 BTC,NO,NO,2021-03-11 23:40:01
304,95568637,0.00000000 BTC,NO,NO,2021-03-11 23:40:47
305,95572603,0.00000000 BTC,NO,NO,2021-03-11 23:49:00
306,95573680,0.00000000 BTC,NO,NO,2021-03-11 23:51:10
307,95569595,0.00000000 BTC,NO,NO,2021-03-12 00:00:51
308,95581383,0.00000000 BTC,NO,NO,2021-03-12 00:07:24
309,95581607,0.00000000 BTC,NO,NO,2021-03-12 00:07:54
310,95592184,0.00000000 BTC,NO,YES,2021-03-12 00:32:46
311,61532173,0.00000000 BTC,NO,YES,2021-03-12 00:34:45
312,95583699,0.00000000 BTC,NO,NO,2021-03-12 00:49:40
313,95599637,0.00000000 BTC,NO,NO,2021-03-12 00:51:28
314,95604980,0.00000000 BTC,NO,NO,2021-03-12 01:04:27
315,95612479,0.00000000 BTC,NO,NO,2021-03-12 01:22:56
316,19922969,0.00000000 BTC,NO,YES,2021-03-12 02:15:23
317,95632901,0.00000000 BTC,NO,NO,2021-03-12 02:24:04
318,95638278,0.00000000 BTC,NO,NO,2021-03-12 02:43:26
319,95654438,0.00000000 BTC,NO,NO,2021-03-12 03:46:58
320,95670850,0.00000000 BTC,NO,YES,2021-03-12 05:55:11
321,95739206,0.00000000 BTC,NO,NO,2021-03-12 08:44:43
322,95758618,0.00000000 BTC,NO,NO,2021-03-12 09:36:16
323,95766785,0.00000000 BTC,NO,NO,2021-03-12 09:54:54
324,95744315,0.00000000 BTC,NO,YES,2021-03-12 10:08:59
325,95766202,0.00000000 BTC,NO,NO,2021-03-12 10:37:13
326,95804487,0.00000000 BTC,NO,NO,2021-03-12 11:17:24
327,95823344,0.00000000 BTC,NO,NO,2021-03-12 11:57:03
328,95849853,0.00000000 BTC,NO,NO,2021-03-12 13:01:45
329,95860527,0.00000000 BTC,NO,NO,2021-03-12 13:11:31
330,95864607,0.00000000 BTC,NO,YES,2021-03-12 13:19:47
331,95880364,0.00000000 BTC,NO,NO,2021-03-12 13:53:28
332,95889065,0.00000000 BTC,NO,YES,2021-03-12 14:11:15
333,95889778,0.00000000 BTC,NO,NO,2021-03-12 14:12:40
334,91034318,0.00000000 BTC,NO,YES,2021-03-12 14:47:49
335,95885826,0.00000000 BTC,NO,YES,2021-03-12 14:53:07
336,95848158,0.00000000 BTC,NO,NO,2021-03-12 15:10:07
337,95870012,0.00000000 BTC,NO,NO,2021-03-12 15:10:09
338,95928450,0.00000000 BTC,NO,YES,2021-03-12 15:48:13
339,95863700,0.00000000 BTC,NO,NO,2021-03-12 15:58:23
340,39968218,0.00000000 BTC,NO,NO,2021-03-12 16:39:28
341,95964092,0.00000000 BTC,NO,YES,2021-03-12 16:40:01
342,95990513,0.00000000 BTC,NO,NO,2021-03-12 17:32:42
343,95997859,0.00000000 BTC,NO,NO,2021-03-12 17:45:42
344,96002607,0.00000000 BTC,NO,NO,2021-03-12 17:54:12
345,96010322,0.00000000 BTC,NO,YES,2021-03-12 18:09:25
346,96035591,0.00000000 BTC,NO,NO,2021-03-12 19:00:02
347,96039167,0.00000000 BTC,NO,NO,2021-03-12 19:07:08
348,96034760,0.00000000 BTC,NO,NO,2021-03-12 19:14:13
349,96044636,0.00000000 BTC,NO,NO,2021-03-12 19:18:55
350,95722018,0.00000000 BTC,NO,NO,2021-03-12 19:33:06
351,75352698,0.00000000 BTC,NO,NO,2021-03-12 19:43:54
352,96016398,0.00000000 BTC,NO,YES,2021-03-12 19:58:39
353,96064287,0.00000000 BTC,NO,YES,2021-03-12 20:00:14
354,96090823,0.00000000 BTC,NO,YES,2021-03-12 20:55:01
355,96095097,0.00000000 BTC,NO,NO,2021-03-12 21:03:23
356,38435932,0.00000000 BTC,NO,YES,2021-03-12 21:04:53
357,95873936,0.00000000 BTC,NO,NO,2021-03-12 21:18:09
358,96102712,0.00000000 BTC,NO,YES,2021-03-12 21:18:23
359,96102820,0.00000000 BTC,NO,YES,2021-03-12 21:18:35
360,96109827,0.00000000 BTC,NO,NO,2021-03-12 21:32:37
361,96112915,0.00000000 BTC,NO,NO,2021-03-12 21:38:50
362,74883075,0.00000000 BTC,NO,YES,2021-03-12 21:42:21
363,96114703,0.00000000 BTC,NO,NO,2021-03-12 21:42:22
364,96117000,0.00000000 BTC,NO,YES,2021-03-12 21:46:50
365,35198479,0.00000000 BTC,NO,YES,2021-03-12 21:52:17
366,96137248,0.00000000 BTC,NO,NO,2021-03-12 22:23:43
367,96142316,0.00000000 BTC,NO,NO,2021-03-12 22:32:42
368,73824934,0.00000000 BTC,NO,YES,2021-03-12 22:50:21
369,96170799,0.00000000 BTC,NO,YES,2021-03-12 23:21:11
370,58529378,0.00000000 BTC,NO,YES,2021-03-12 23:27:53
371,96205842,0.00000000 BTC,NO,NO,2021-03-13 00:04:32
372,96208262,0.00000000 BTC,NO,NO,2021-03-13 00:08:01
373,96197810,0.00000000 BTC,NO,NO,2021-03-13 00:54:08
374,96244941,0.00000000 BTC,NO,YES,2021-03-13 01:08:53
375,96261622,0.00000000 BTC,NO,NO,2021-03-13 02:11:57
376,96183680,0.00000000 BTC,NO,NO,2021-03-13 03:09:57
377,96433145,0.00000000 BTC,NO,YES,2021-03-13 10:19:04
378,96474045,0.00000000 BTC,NO,NO,2021-03-13 11:37:24
379,96476718,0.00000000 BTC,NO,YES,2021-03-13 11:42:29
380,96472401,0.00000000 BTC,NO,YES,2021-03-13 12:14:03
381,96504758,0.00000000 BTC,NO,NO,2021-03-13 12:34:31
382,61126970,0.00000000 BTC,NO,NO,2021-03-13 12:43:03
383,96509857,0.00000000 BTC,NO,YES,2021-03-13 13:22:19
384,96536848,0.00000000 BTC,NO,NO,2021-03-13 13:28:35
385,96538051,0.00000000 BTC,NO,NO,2021-03-13 13:30:21
386,96562312,0.00000000 BTC,NO,YES,2021-03-13 14:05:00
387,96566237,0.00000000 BTC,NO,YES,2021-03-13 14:10:07
388,96580082,0.00000000 BTC,NO,NO,2021-03-13 14:30:19
